,,,,,,,,,,,,,,
Category,signal,Description,bit size,byte size,type,lower value,upper value,resolution,offset,MinPhys,MaxPhys,unit,Default,remark
,Detection classification type,"Additional classification information if detection is assigned to an object [see signal ""Object ID reference - detection level""]

Additional information:
Exception to single shot rule: can be tracked over time. A detection might require multiple time steps.",32,4,enumeration[4],0,6,1,0,0,6,1,0,"Reserve
Detection ??? Classification ?? ??? ? ??? ???"
,Detection classification type - confidence,"The signal ""Detection classification type - confidence"" provides the confidence for the corresponding signal ""Detection classification type"".",32,4,uint8_t[4],0,100,1,0,0,100,%,0,"Reserve
Detection ??? Classification ?? ??? ? ??? ???"
,Position {radial distance},"Due to sensor specific measurement method, the values of the signal ""Position {radial distance, azimuth, elevation}"" are given in the sensor coordinate system.

Additional information:
In case of an ambiguity the detection is send several times. For example, a measured detection with angle ambiguity will send detection candidates with different angles and different values for signal ""Detection ambiguity probability"" and the same value for signal ""Ambiguity grouping ID"".",16,2,uint16_t,0,65534,0.01,0,0,655.34,m,65535,"Radar ??, ????? ?? ??"
,Position {azimuth},"Due to sensor specific measurement method, the values of the signal ""Position {radial distance, azimuth, elevation}"" are given in the sensor coordinate system.

Additional information:
In case of an ambiguity the detection is send several times. For example, a measured detection with angle ambiguity will send detection candidates with different angles and different values for signal ""Detection ambiguity probability"" and the same value for signal ""Ambiguity grouping ID"".",16,2,uint16_t,0,31416,0.0001,-1.5708,-1.5708,1.5708,rad,65535,"Radar ??, ??? ??? ?? ??"
,Positon {elevation},"Due to sensor specific measurement method, the values of the signal ""Position {radial distance, azimuth, elevation}"" are given in the sensor coordinate system.

Additional information:
In case of an ambiguity the detection is send several times. For example, a measured detection with angle ambiguity will send detection candidates with different angles and different values for signal ""Detection ambiguity probability"" and the same value for signal ""Ambiguity grouping ID"".",16,2,uint16_t,0,31416,0.0001,-1.5708,-1.5708,1.5708,rad,65535,"Radar ??, ??? ??? ?? ??"
,Position {radial distance} - error,"The signal ""Position {radial distance, azimuth, elevation} - error"" provides the error values of the signal ""Position {radial distance, azimuth, elevation}"".

Additional information:
The values are given in the sensor coordinate system.",16,2,uint16_t,0,65534,0.01,0,0,655.34,m,65535,"? ? ??? ?? ??? ?? Error? ?? 
 = abs(?? Scan? Predicted Detection Position - ?? Measure? Detection Position)

??? ?? ?? ???"
,Position {azimuth} - error,"The signal ""Position {radial distance, azimuth, elevation} - error"" provides the error values of the signal ""Position {radial distance, azimuth, elevation}"".

Additional information:
The values are given in the sensor coordinate system.",16,2,uint16_t,0,31416,0.0001,0,0,3.1416,rad,65535,"? ? ??? ?? ??? ?? Error? ?? 
 = abs(?? Scan? Predicted Detection Position - ?? Measure? Detection Position)

??? ?? ?? ???"
,Position {elevation} - error,"The signal ""Position {radial distance, azimuth, elevation} - error"" provides the error values of the signal ""Position {radial distance, azimuth, elevation}"".

Additional information:
The values are given in the sensor coordinate system.",16,2,uint16_t,0,31416,0.0001,0,0,3.1416,rad,65535,"? ? ??? ?? ??? ?? Error? ?? 
 = abs(?? Scan? Predicted Detection Position - ?? Measure? Detection Position)

??? ?? ?? ???"
,Relative velocity {radial distance},Detection's received power strength,16,2,uint16_t,0,65534,0.005,-200,-200,127.67,m/s,65535,"Radar ??, ??? ?? ???? Relative Radial Velocity"
,Relative velocity {radial distance} - error,??? ?? ?? (???? ?? ?? ??) ?? ??,16,2,uint16_t,0,65534,0.005,0,0,327.67,m/s,65535,"? Detection? ?? Error? ?? 
 = abs(?? Scan? Measure? Detection Velocity - ?? Measure? Detecttion Velocity)

??? ?? ?? ???"
,Power,?? ?? ?? (???? ?? ?? ??) ?? ??,16,2,uint16_t,0,65534,0.01,-300,-300,355.34,dB,65535,Radar?? ??? Linear Level NCI Power
,Azimuth Angle Estimation Method,"Quality of ""Position {radial distance, azimuth, elevation}"" measurement",8,1,uint8_t,1,4,1,0,1,4,1,255,Azimuth Angle estimation ??? ?? Flag 
,Elevation Angle Estimation Method,Azimuth angle ambiguity model of detection.,8,1,uint8_t,1,2,1,0,1,2,1,255,Elevation Angle estimation ??? ?? Flag 
,"Position {radial distance, azimuth, elevation} - quality",Elevation angle ambiguity model of detection.,24,3,uint8_t[3],0,100,1,0,0,100,%,255,"1 : Measure???? Error?? Min - Max?? ??(Lessoned) ? Error?? %? ?? 
2 : ???? Azimuth APS? ?? SNR
3 : ???? Elevation APS? ?? SNR"
,Ambiguity model azimuth,Quality of unambiguous radial velocity,8,1,uint8_t,1,4,1,0,1,4,1,255,"Azimuth APS? ?? ??? Multi Target? ??
single target = 1,
two target = 2,
three target = 3,
multi target = 4"
,Ambiguity model elevation,Relative velocity ambiguity model of detection.,8,1,uint8_t,1,2,1,0,1,2,1,255,"Elevation APS? ?? ??? Multi Target? ??
single target = 1,
two target = 2
(4?? 2? ??)"
,Relative velocity {radial distance} - quality,Index of relative velocity ambiguity domain of detection.,8,1,uint8_t,0,100,1,0,0,100,%,255,Measure???? Error?? Min - Max?? ??(Lessoned) ? Error?? %? ?? 
,Ambiguity model velocity,Dual PRF? ?? ?? Resolved ?? ?? ,8,1,uint8_t,0,1,1,0,0,1,1,255,"Dual PRF? ?? ?? Resolved ?? ?? 
unknown = 0,
resolved = 1"
,Ambiguity index velocity,Dual PRF ?? ???? Resolved Case? fs? ID,16,2,uint16_t,0,65534,1,0,0,65534,1,65535,Dual PRF ?? ???? Resolved Case? fs? ID
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
