,,,,,,,,,,,,,,
Category,signal,Description,bit size,byte size,type,lower value,upper value,resolution,offset,MinPhys,MaxPhys,unit,Default,remark
,"Range ambiguity domain {begin, end}","The range of the ambiguity domain is defined by {begin} and {end}.
The defined range is only one possible solution for an ambiguous measurement method (for example, under-sampling).",32,4,uint16_t[2],0,65534,0.01,0,0,655.34,"{m, m}",65535,?? ???? ?? ?? ???? ?? ?? ?? ??
,"Angle azimuth ambiguity domain {begin, end}",The azimuth angle of the ambiguity domain is defined by {begin} and {end}. The defined azimuth angle is only one possible solution for an ambiguous measurement method.,32,4,uint16_t[2],0,31416,0.0001,-1.5708,-1.5708,1.5708,"{rad, rad}",65535,?? ???? ?? ?? ???? ?? ?? ?? ??
,"Angle elevation ambiguity domain {begin, end}",The elevation angle of the ambiguity domain is defined by {begin} and {end}. The defined elevation angle is only one possible solution for an ambiguous measurement method.,32,4,uint16_t[2],0,31416,0.0001,-1.5708,-1.5708,1.5708,"{rad, rad}",65535,?? ???? ?? ?? ???? ?? ?? ?? ??
"Header-Detection
Info",Recognised detections - capability,"The signal ""Recognised detections - capability"" provides the performance of the sensor cluster's interface. It determines how many entities the sensor cluster is guaranteed to recognise, for example, at full load with respect to the current scenario.",16,2,uint16_t,0,2048,1,0,0,2048,1,65535,?? ?? ?? ????? ?? ?? ?? ??
,Recognised detections - status,"The signal ""Recognised detections - status"" determines whether the sensor cluster's interface can process all recognised entities or whether it works at the sensor cluster's performance limits.",8,1,enumeration,-1,1,1,0,-1,1,1,0,"?? ??? ?? ?? ??(MAR520? ?? 2048)??
?? ??? ??? 
Recognised detections - capability < detection
Recognised detections - capability = detection
Recognised detections - capability > detection
?? 3??? ???? ??? ?? ????. 
?? ??? ?? enum? ???? ???? ?? ????."
,Number of valid detections,"The signal's ""Number of valid detections"" value defines the number of valid entities in the detection list of a DLI.
One measurement can generate more than one similar detection, if there are ambiguities.

Additional information:
The entries in the list may or may not be sorted.
All those entities of the list which can be used by the fusion unit are regarded as valid.
The list includes a complete and prioritised set of valid entities for the signal's ""Time stamp - <...>"" value and not only differential list between two sequential time stamps.

",16,2,uint16_t,0,2048,1,0,0,2048,1,65535,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
