,,,,,,,,,,,,,,
Category,signal,Description,bit size,byte size,type,lower value,upper value,resolution,offset,MinPhys,MaxPhys,unit,Default,remark
,GearSelectDisplay,"Position (P, R, N..), which was identified by the gear selector.
In case the gear selector is in a intermediate position, the last clear recognized position is used.
There is no specific phase relationship between the output and any other signal.

This signal is raw value of inhibitor switch on auto transmission except SBW/DCT, should not use on diagnosis",8,1,uint8_t,0,15,1,0,0,15,-,255,"CAN Input Signal : TCU_GearSlctDis ??

0x0:P
0x1:L
0x2:2
0x3:3
0x4:DS Mode
0x5:D
0x6:N
0x7:R
0x8:sports mode / manual shift / paddle shift
0x9:Not Display at Cluster
0xA:Sub-Rom Communication
0xB:Sub-Rom Communication Error
0xC:Paddle shift (D-position)
0xD:Full-time manual shift
0xE:Intermediate Position
0xF:Unknown signal Detecting (Should not use on diagnosis)"
,EngineTargetGear,"TCH_EngTrgtGearSta informs about target gear of SS timing 
(For indicating Paddle shift or Manual mode on cluster)",8,1,uint8_t,0,14,1,0,0,14,-,255,"CAN Input Signal : TCH_EngTrgtGearSta

0x0:if N or P are detected (no frictional connection)
0x1:1st speed
0x2:2nd speed
0x3:3rd speed
0x4:4th speed
0x5:5th speed
0x6:6th speed
0x7:7th speed
0x8:8th speed
0xE:Reverse speed"
,WheelSpeed_kmph,"This signal provides the wheel velocity of each wheel and have 14 bits length and a resolution of 0.03125 km^h.(This resolution is higher than that of signal in TCS5).
In case of failure of one wheel speed sensor, the value 3FFFH is used as error identifier.",64,8,uint16_t[4],0,16383,0.03125,0,0,511.96875,km/h,65535,"CAN Input Signal : WHL_SpdFLVal, WHL_SpdFRVal, WHL_SpdRLVal, WHL_SpdRRVal
([0]:FL, [1]:FR, [2]:RL, [3]:RR)
0x3FFF:Error"
,Reserved1,Reserved,64,8,char[8],0,127,1,0,0,127,-,255,Reserve
?? ??,SensorPosition,??? ??? ?? ??,8,1,uint8_t,0,254,1,0,0,254,-,255,"Mobis ?? ? ?? ??
default : 0"
,MountingDirection,??? ?? ??,8,1,uint8_t,0,1,1,0,0,1,-,255,"Mobis ?? ? ?? ??
0 : normal
1 : reverse"
,XOffset_m,?? ????? X? ???,16,2,int16_t,-32768,32767,0.000915527,0,-30,30,meter,0,Mobis ?? ? ?? ??
,YOffset_m,?? ????? Y? ???,16,2,int16_t,-32768,32767,0.000915527,0,-30,30,meter,0,Mobis ?? ? ?? ??
,ZOffset_m,?? ????? Z? ???,16,2,int16_t,-32768,32767,0.000915527,0,-30,30,meter,0,
,AzimuthEOLOffset_deg,HKMC ??? EOL Offset  -> Reserved,16,2,int16_t,-32768,32767,0.01,0,-327.68,327.67,degree,0,`
,ElvevationEOLOffset_deg,HKMC ?? EOL Offsetv  -> Reserved,16,2,int16_t,-32768,32767,0.01,0,-327.68,327.67,degree,0,SW? ?? ?? ??? ?? ?? ????? Reserve?? Agree? ?? ??
,Reserved2,Reserved,160,20,char[20],0,127,1,0,0,255,-,255,Reserve
??? ?? ?? ? ?? ??,ECU_Id,ECU ID,400,50,char[50],0,127,1,0,0,255,-,255,Mobis ?? ? ?? ??
,HW_Version,Hardware version,32,4,char[4],0,127,1,0,0,255,-,255,Mobis ?? ? ?? ??
,SW_Version,Software version,256,32,char[32],0,127,1,0,0,255,-,255,Mobis ?? ? ?? ??
,FrameNum,?? frame? frame number,32,4,uint32_t,0,4294967295,1,0,0,4294967295,1,0,
,CenterFrequency,?? frame? ?? ???,16,2,uint16_t,7600,8100,10,0,76000,81000,MHz,65535,
,PRI_us,PRI ??,16,2,uint16_t,0,65534,0.01,0,0,655.34,us,65535,?? ?? 66.8 us or 74 us
,TotalTargetNum,?? frame ? ?? ??,16,2,uint16_t,0,2048,1,0,0,2048,1,65535,
,ProcessingTime,?? frame? ?? ??,16,2,uint16_t,0,65535,0.01,0,0,655.35,ms,65535,???? ?? ?? ????? ? ? ?? ??
,Reserved3,Reserved,528,66,char[66],0,127,1,0,0,255,-,255,Reserve
?? ??,SampleCalibrationData,?? ??,16384,2048,Complex_t[256],-,-,1,0,-,-,-,0,
,Reserved4,Reserved,8192,1024,Complex_t[128],-,-,1,0,-,-,-,0,Reserve
?? ??,SacqElemNullingRatePct,?? frame ? ???? ??? ?? ?? ?,16,2,uint16_t,0,10000,0.01,0,0,100,%,10000,% ?? ??
,Reserved5,Reserved,16,2,uint16_t,0,255,-,-,-,-,-,0,Reserve
Noise ??,CurrentNoiseLevel_mag,?? frame? noise level,16,2,uint16_t,0,65535,0.01,0,0,655.35,-,65535,magnitude
,PrevNoiseLevel_mag,?? frame? noise level,16,2,uint16_t,0,65535,0.01,0,0,655.35,-,65535,magnitude
,Reserved6,Reserved,32,4,char[4],0,127,1,0,0,255,-,255,Reserve
AA? ??? ???,Reserved7,Reserved,64,8,char[8],0,127,1,0,0,255,-,255,Reserve
??? AA ??,Reserved8,Reserved,64,8,char[8],0,127,1,0,0,255,-,255,Reserve
?? AA ??,Reserved9,Reserved,64,8,char[8],0,127,1,0,0,255,-,255,Reserve
Blockage ??,Reserved10,Reserved,256,32,char[32],0,127,1,0,0,255,-,255,Reserve
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
